time,bestBidPrice,bestAskPrice,bestBidVolume,bestAskVolume
1.000000,9.40,9.41,131800.000000,3600.000000
2.000000,9.40,9.41,131800.000000,3600.000000
3.000000,9.40,9.41,131800.000000,3600.000000
4.000000,9.41,9.42,1100.000000,22100.000000
5.000000,9.40,9.42,184900.000000,22100.000000
6.000000,9.41,9.42,1200.000000,22100.000000
7.000000,9.40,9.42,186500.000000,22100.000000
8.000000,9.41,9.42,2300.000000,17500.000000
9.000000,9.41,9.42,2300.000000,17500.000000
10.000000,9.41,9.42,4200.000000,17400.000000
11.000000,9.41,9.42,1700.000000,17400.000000
12.000000,9.41,9.42,5500.000000,17400.000000
13.000000,9.41,9.42,4800.000000,19400.000000
14.000000,9.40,9.41,206900.000000,7900.000000
15.000000,9.40,9.41,202800.000000,14300.000000
16.000000,9.40,9.41,204800.000000,13000.000000
17.000000,9.40,9.41,203100.000000,12500.000000
18.000000,9.40,9.41,197900.000000,23700.000000
19.000000,9.40,9.41,196600.000000,23900.000000
20.000000,9.40,9.41,196600.000000,12300.000000
21.000000,9.40,9.41,221900.000000,10200.000000
22.000000,9.40,9.41,221800.000000,10200.000000
23.000000,9.39,9.40,261400.000000,58800.000000
24.000000,9.39,9.40,261100.000000,57900.000000
25.000000,9.39,9.40,263900.000000,56400.000000
26.000000,9.39,9.40,251100.000000,69400.000000
27.000000,9.39,9.40,251100.000000,67300.000000
28.000000,9.39,9.40,251100.000000,67300.000000
29.000000,9.39,9.40,239700.000000,69703.000000
30.000000,9.39,9.40,238200.000000,68203.000000
31.000000,9.39,9.40,167600.000000,71203.000000
32.000000,9.39,9.40,167600.000000,71303.000000
33.000000,9.39,9.40,167600.000000,71303.000000
34.000000,9.39,9.40,168500.000000,71303.000000
35.000000,9.39,9.40,166300.000000,71303.000000
36.000000,9.39,9.40,166300.000000,71303.000000
37.000000,9.39,9.40,150800.000000,71703.000000
38.000000,9.39,9.40,151300.000000,71203.000000
39.000000,9.39,9.40,143100.000000,71503.000000
40.000000,9.39,9.40,143100.000000,70903.000000
41.000000,9.39,9.40,141800.000000,70903.000000
42.000000,9.39,9.40,141800.000000,32403.000000
43.000000,9.39,9.40,132800.000000,40703.000000
44.000000,9.39,9.40,90500.000000,41103.000000
45.000000,9.39,9.40,80000.000000,48403.000000
46.000000,9.39,9.40,80800.000000,48403.000000
47.000000,9.39,9.40,80800.000000,39803.000000
48.000000,9.39,9.40,81800.000000,43003.000000
49.000000,9.39,9.40,83800.000000,43003.000000
50.000000,9.39,9.40,83800.000000,43003.000000
51.000000,9.39,9.40,83800.000000,44103.000000
52.000000,9.39,9.40,78500.000000,45503.000000
53.000000,9.39,9.40,77500.000000,42203.000000
54.000000,9.39,9.40,64100.000000,37203.000000
55.000000,9.39,9.40,59100.000000,37203.000000
56.000000,9.39,9.40,59900.000000,37203.000000
57.000000,9.39,9.40,60000.000000,22703.000000
58.000000,9.39,9.40,59900.000000,23203.000000
59.000000,9.39,9.40,48203.000000,13203.000000
60.000000,9.39,9.40,48703.000000,13003.000000
61.000000,9.39,9.40,51403.000000,13003.000000
62.000000,9.39,9.40,51403.000000,12803.000000
63.000000,9.39,9.40,51403.000000,12803.000000
64.000000,9.39,9.40,51403.000000,23503.000000
65.000000,9.39,9.40,56703.000000,23503.000000
66.000000,9.39,9.40,56703.000000,23503.000000
67.000000,9.39,9.40,56103.000000,38503.000000
68.000000,9.39,9.40,47303.000000,38503.000000
69.000000,9.39,9.40,47303.000000,29403.000000
70.000000,9.40,9.41,5397.000000,47100.000000
71.000000,9.40,9.41,5397.000000,47100.000000
72.000000,9.39,9.41,33600.000000,47100.000000
73.000000,9.39,9.41,21400.000000,47100.000000
